博斯网球台,博斯網球台
博斯无限台,博斯無限台
博斯魅力网,博斯魅力網
博斯运动一台,博斯運動一台
博斯无限二台,博斯無限二台
彩虹频道,彩虹頻道
彩虹电影台,彩虹電影台
K 频道,K 頻道
松视1台,松視1台
松视2台,松視2台
松视3台,松視3台
松视4台,松視4台
潘朵啦高清玩美台,潘朵啦高畫質玩美台
潘朵啦高清粉红台,潘朵啦高畫質粉紅台
JStar极限台电影频道,JStar極限台電影頻道
惊艳成人电影台,驚豔成人電影台
玩家频道,玩家頻道
频道总表,頻道總表
公视(HD),公視(HD)
原住民族电视,原住民族電視
客家电视,客家電視
公视儿少台,公視兒少台
ELTV生活英语台,ELTV生活英語台
龙华动画,龍華動畫
靖洋卡通台Nice Bingo,靖洋卡通台Nice Bingo 
靖天卡通台,靖天卡通台 
Fun探索娱乐台 4K,Fun探索娛樂台 4K
Medici-arts,Medici-arts 
MTV综合台,MTV綜合台
TRACE Urban,TRACE Urban 
爱尔达体育1台,愛爾達體育1台
爱尔达体育2台,愛爾達體育2台
爱尔达体育3台,愛爾達體育3台
爱尔达体育4台,愛爾達體育4台
博斯网球,博斯網球
TRACE Sport Stars,TRACE Sport Stars 
智林体育,智林體育
EUROSPORT,EUROSPORT 
麦哲伦频道,麥哲倫頻道 
BBC Earth,BBC Earth 
Discovery Asia,Discovery Asia 
Discovery科学,Discovery科學
DMAX,DMAX 
EVE,EVE 
Global Trekker,Global Trekker 
BBC Lifestyle,BBC Lifestyle 
PET CLUB TV,PET CLUB TV 
LUXE TV,LUXE TV 
Lifetime,Lifetime 
滚动力 rollor,滾動力 rollor
HGTV居家乐活频道,HGTV居家樂活頻道
亚洲美食频道,亞洲美食頻道
亚洲旅游,亞洲旅遊
EYE TV旅游台,EYE TV旅遊台
Travel Channel,Travel Channel 
Fashion TV,Fashion TV 
爱尔达综合台,愛爾達綜合台
靖天资讯,靖天資訊
靖天育乐,靖天育樂
Smart 知识,Smart 知識
台视综合,台視綜合
亚洲综合,亞洲綜合
中视经典台,中視經典台
寰宇HD综合,寰宇HD綜合
中视菁采台,中視菁采台
壹电视综合,壹電視綜合 
纬来精采,緯來精采
八大优频道,八大優頻道
momo综合台,momo綜合台
三立戏剧台,三立戲劇台
台湾戏剧,台灣戲劇
龙华戏剧,龍華戲劇
龙华偶像,龍華偶像
龙华影剧,龍華影劇
爱尔达影剧台,愛爾達影劇台
靖天戏剧,靖天戲劇
靖洋戏剧,靖洋戲劇
EYE TV戏剧台,EYE TV戲劇台
OUTtv,OUTtv 
寰宇新闻,寰宇新聞
台视新闻,台視新聞
华视新闻资讯,華視新聞資訊
壹电视新闻,壹電視新聞
寰宇财经,寰宇財經
台视财经,台視財經
BBC NEWS,BBC NEWS 
德国之声,德國之聲
FRANCE24E,FRANCE24E 
NHK新闻资讯台,NHK新聞資訊台
半岛英语新闻台Al Jazeera English,半島英語新聞台Al Jazeera English 
美亚电影,美亞電影
龙华电影,龍華電影
靖天电影,靖天電影
龙华洋片,龍華洋片
ROCK Action,ROCK Action 
wedotv Movies,wedotv Movies 
HITS,HITS 
龙华经典,龍華經典
华艺影剧台,華藝影劇台
CinemaWorld,CinemaWorld 
信吉艺文台,信吉藝文台
新天地民俗台,新天地民俗台 
番薯电视台,番薯電視台
MCE 我的欧洲电影台,MCE 我的歐洲電影台
Cbeebies,Cbeebies 
东森购物4台,東森購物4台
CARTOONITO,CARTOONITO 
DMAX频道,DMAX頻道
动物星球频道,動物星球頻道
CatchPlay,CatchPlay 
tvN,tvN 
ETtoday综合台,ETtoday綜合台
